2020-12-06 15:00:31:[vdb1,vdb2,vdb3,vdb4,vdb5,vdb6,vdb7, 100, 100000, 9000000, 15, 15, 2, 0]
2020-12-06 15:00:31:Logging into VoltDB
2020-12-06 15:00:31:Connect to vdb1...
2020-12-06 15:00:31:Connect to vdb2...
2020-12-06 15:00:31:Connect to vdb3...
2020-12-06 15:00:31:Connect to vdb4...
2020-12-06 15:00:31:Connect to vdb5...
2020-12-06 15:00:31:Connect to vdb6...
2020-12-06 15:00:31:Connect to vdb7...
2020-12-06 15:00:31:Logging into VoltDB
2020-12-06 15:00:31:Connect to vdb1...
2020-12-06 15:00:31:Connect to vdb2...
2020-12-06 15:00:31:Connect to vdb3...
2020-12-06 15:00:31:Connect to vdb4...
2020-12-06 15:00:31:Connect to vdb5...
2020-12-06 15:00:31:Connect to vdb6...
2020-12-06 15:00:31:Connect to vdb7...
2020-12-06 15:00:31:Hosts=vdb1,vdb2,vdb3,vdb4,vdb5,vdb6,vdb7
2020-12-06 15:00:31:tpMs=100
2020-12-06 15:00:31:userCount=100000
2020-12-06 15:00:31:tranCount=9000000
2020-12-06 15:00:31:delay=15
2020-12-06 15:00:31:processingtime=15
2020-12-06 15:00:31:participants=2
2020-12-06 15:00:31:offset=0
2020-12-06 15:00:32:DELETE FROM user_transactions;
2020-12-06 15:00:32:Waiting for 10 seconds
2020-12-06 15:00:46:row 298698
2020-12-06 15:01:01:row 1394461
2020-12-06 15:01:16:row 2487535
2020-12-06 15:01:31:row 3592516
2020-12-06 15:01:46:row 4690327
2020-12-06 15:02:01:row 5791671
2020-12-06 15:02:16:row 6874287
2020-12-06 15:02:31:row 7978603
2020-12-06 15:02:45:queue size=1702
2020-12-06 15:02:48:done
2020-12-06 15:02:48:waiting 20 seconds
2020-12-06 15:03:08:{INSERT_DONE=INSERT_DONE 
 Reports=         9000000 Average=              11, Total=      99,905,925, 50%=              14, 95%=              19, 99%=              22, 99.5%=              27, 99.95%=              97, Max=             107
0	6309.0	
1	103342.0	
2	238908.0	
3	400216.0	
4	497698.0	
5	379342.0	
6	273351.0	
7	306545.0	
8	415317.0	
9	533776.0	
10	617652.0	
11	669066.0	
12	689362.0	
13	701652.0	
14	698974.0	
15	688657.0	
16	620535.0	
17	486830.0	
18	320735.0	
19	177429.0	
20	86620.0	
21	41349.0	
22	17671.0	
23	8289.0	
24	4306.0	
25	2607.0	
26	1548.0	
27	1311.0	
28	969.0	
29	890.0	
30	724.0	
31	652.0	
32	497.0	
33	381.0	
34	189.0	
35	171.0	
36	206.0	
37	297.0	
38	282.0	
39	396.0	
40	308.0	
41	384.0	
42	282.0	
43	248.0	
44	313.0	
45	221.0	
46	317.0	
47	142.0	
48	153.0	
49	142.0	
50	80.0	
51	36.0	
52	8.0	
53	16.0	
54	16.0	
56	2.0	
57	7.0	
59	13.0	
60	6.0	
61	18.0	
62	9.0	
63	21.0	
64	27.0	
65	32.0	
66	22.0	
67	25.0	
68	5.0	
69	11.0	
70	1.0	
71	11.0	
72	2.0	
73	8.0	
74	4.0	
75	10.0	
76	18.0	
77	43.0	
78	19.0	
79	39.0	
80	24.0	
81	21.0	
82	29.0	
83	20.0	
84	14.0	
85	41.0	
86	22.0	
87	36.0	
88	54.0	
89	105.0	
90	146.0	
91	164.0	
92	121.0	
93	124.0	
94	128.0	
95	84.0	
96	132.0	
97	132.0	
98	14.0	
99	12.0	
100	17.0	
101	44.0	
102	103.0	
103	124.0	
104	93.0	
105	70.0	
106	43.0	
107	13.0	
, TRANSACTION_FAILED_QTY= 
 Reports=               0 Average=             NaN, Total=               0, 50%=               0, 95%=               0, 99%=               0, 99.5%=               0, 99.95%=               0, Max=               0
, TRANSACTION_E2E_FAILED_QTY=TRANSACTION_E2E_FAILED_QTY 
 Reports=               2 Average=              51, Total=             101, 50%=              53, 95%=              53, 99%=              53, 99.5%=              53, 99.95%=              53, Max=              53
48	1.0	
53	1.0	
